Timestamp, Tweet-ID, Included(Y/N)
"Thu Jun 20 03:56:19 +0000 2013","347563538547609602",Y
"Mon Jul 01 16:10:43 +0000 2013","351734622884855808",Y
"Mon Jul 01 16:19:46 +0000 2013","351736900391931904",Y
"Mon Jul 01 16:28:15 +0000 2013","351739035271700482",Y
"Mon Jul 01 16:38:38 +0000 2013","351741648327294977",Y
"Mon Jul 01 16:51:53 +0000 2013","351744982803156992",Y
"Mon Jul 01 17:36:10 +0000 2013","351756127056310272",Y
"Mon Jul 01 17:44:20 +0000 2013","351758182252679168",Y
"Mon Jul 01 18:05:42 +0000 2013","351763559383965696",Y
"Mon Jul 01 18:08:18 +0000 2013","351764213691199491",Y
"Mon Jul 01 18:27:54 +0000 2013","351769146184314881",Y
"Mon Jul 01 18:58:25 +0000 2013","351776825967513600",Y
"Mon Jul 01 19:07:30 +0000 2013","351779111833845761",Y
"Mon Jul 01 19:10:44 +0000 2013","351779925541400576",Y
"Mon Jul 01 19:30:33 +0000 2013","351784912560480256",Y
"Mon Jul 01 19:42:01 +0000 2013","351787798258388993",Y
"Mon Jul 01 20:46:44 +0000 2013","351804084732432384",Y
"Mon Jul 01 20:51:00 +0000 2013","351805158465863680",Y
"Mon Jul 01 21:10:29 +0000 2013","351810061598867456",Y
"Mon Jul 01 21:13:33 +0000 2013","351810833350795265",Y
"Mon Jul 01 21:27:19 +0000 2013","351814297875255296",Y
"Mon Jul 01 21:51:26 +0000 2013","351820367033147392",Y
"Mon Jul 01 22:00:01 +0000 2013","351822527087124480",Y
"Mon Jul 01 22:48:21 +0000 2013","351834690560335872",Y
"Mon Jul 01 22:52:18 +0000 2013","351835684635549696",Y
"Mon Jul 01 22:59:19 +0000 2013","351837450429136896",Y
"Mon Jul 01 23:12:05 +0000 2013","351840663261814785",Y
"Mon Jul 01 23:14:11 +0000 2013","351841191744114688",Y
"Tue Jul 02 01:02:06 +0000 2013","351868349862526976",Y
"Tue Jul 02 02:29:14 +0000 2013","351890277696405504",Y
"Tue Jul 02 02:48:31 +0000 2013","351895130472583168",Y
"Tue Jul 02 02:50:32 +0000 2013","351895638004338688",Y
"Tue Jul 02 03:16:47 +0000 2013","351902244024745987",Y
"Tue Jul 02 04:00:09 +0000 2013","351913157595365377",Y
"Tue Jul 02 04:11:18 +0000 2013","351915963618308096",Y
"Tue Jul 02 06:06:58 +0000 2013","351945072071299072",Y
"Tue Jul 02 06:54:12 +0000 2013","351956958716248064",Y
"Tue Jul 02 11:48:44 +0000 2013","352031080460718080",Y
"Tue Jul 02 12:37:14 +0000 2013","352043285876977664",Y
"Tue Jul 02 13:00:09 +0000 2013","352049053070143489",Y
"Tue Jul 02 13:02:14 +0000 2013","352049577358131202",Y
"Tue Jul 02 13:21:48 +0000 2013","352054501466849280",Y
"Tue Jul 02 13:29:09 +0000 2013","352056351150718976",Y
"Tue Jul 02 13:32:19 +0000 2013","352057148064268288",Y
"Tue Jul 02 13:53:20 +0000 2013","352062437094203392",Y
"Tue Jul 02 14:15:19 +0000 2013","352067969372790788",Y
"Tue Jul 02 14:23:05 +0000 2013","352069923910066176",Y
"Tue Jul 02 14:27:05 +0000 2013","352070930555600897",Y
"Tue Jul 02 14:55:49 +0000 2013","352078161548288000",Y
"Tue Jul 02 15:07:33 +0000 2013","352081114308952065",Y
"Tue Jul 02 15:10:46 +0000 2013","352081923813801985",Y
"Tue Jul 02 15:21:44 +0000 2013","352084683661639680",Y
"Tue Jul 02 15:29:43 +0000 2013","352086692758433793",Y
"Tue Jul 02 15:31:58 +0000 2013","352087258968498176",Y
"Tue Jul 02 15:36:28 +0000 2013","352088391455735808",Y
"Tue Jul 02 15:42:25 +0000 2013","352089888801296386",Y
"Tue Jul 02 15:45:30 +0000 2013","352090664739160064",Y
"Tue Jul 02 16:02:33 +0000 2013","352094955512143875",Y
"Tue Jul 02 16:02:49 +0000 2013","352095022621007875",Y
"Tue Jul 02 16:08:40 +0000 2013","352096494817513473",Y
"Tue Jul 02 16:13:17 +0000 2013","352097656635527168",Y
"Tue Jul 02 16:14:21 +0000 2013","352097925100343298",Y
"Tue Jul 02 16:17:02 +0000 2013","352098600383287300",Y
"Tue Jul 02 16:45:10 +0000 2013","352105680368435201",Y
"Tue Jul 02 16:49:57 +0000 2013","352106884133683200",Y
"Tue Jul 02 17:01:37 +0000 2013","352109820129722369",Y
"Tue Jul 02 17:08:08 +0000 2013","352111460106776577",Y
"Tue Jul 02 17:35:49 +0000 2013","352118426828943361",Y
"Tue Jul 02 17:36:34 +0000 2013","352118615606165504",Y
"Tue Jul 02 17:46:54 +0000 2013","352121216041103360",Y
"Tue Jul 02 17:47:02 +0000 2013","352121249616510978",Y
"Tue Jul 02 17:56:03 +0000 2013","352123518726569984",Y
"Tue Jul 02 18:16:46 +0000 2013","352128732242247680",Y
"Tue Jul 02 18:24:29 +0000 2013","352130674225971200",Y
"Tue Jul 02 18:27:10 +0000 2013","352131349487951872",Y
"Tue Jul 02 18:30:15 +0000 2013","352132125450973185",Y
"Tue Jul 02 18:40:22 +0000 2013","352134671376711681",Y
"Tue Jul 02 18:47:32 +0000 2013","352136474923245569",Y
"Tue Jul 02 19:03:06 +0000 2013","352140392424161280",Y
